listing_id,date
3083,2014-08-02
3083,2014-09-21
3083,2014-10-22
3083,2015-02-25
3083,2015-05-26
3083,2015-08-07
3083,2015-08-09
3083,2015-08-22
3083,2015-08-25
3083,2015-09-16
3083,2016-05-24
3083,2016-05-28
3083,2016-08-26
3083,2017-05-18
3083,2017-05-25
3083,2017-08-13
3083,2018-03-25
3083,2018-05-26
3083,2018-06-02
3083,2018-06-18
3083,2018-07-01
3083,2018-07-06
3083,2018-07-15
3083,2018-07-20
3083,2018-07-25
3083,2018-08-17
3083,2018-10-12
3083,2018-10-15
3083,2019-02-27
3083,2019-03-12
3083,2019-04-19
3083,2019-05-11
3083,2019-06-02
3083,2019-06-17
3083,2019-07-14
3083,2019-08-06
3083,2019-08-14
3083,2020-11-15
3083,2021-03-01
3083,2021-04-03
3083,2021-04-14
3083,2021-05-25
3083,2021-07-02
3083,2021-08-06
3083,2021-09-14
3083,2021-11-01
3083,2021-12-18
3083,2021-12-22
3083,2022-01-16
3083,2022-04-19
3083,2022-04-30
3083,2022-05-14
3083,2022-06-19
3083,2022-07-07
3083,2022-08-02
3264,2009-07-13
3264,2009-10-05
3264,2009-11-20
3264,2009-12-05
3264,2010-03-21
3264,2010-04-13
3264,2010-06-16
3264,2010-08-12
3264,2010-09-12
3264,2010-10-06
3264,2010-10-22
3264,2010-11-22
3264,2010-12-31
3264,2011-01-17
3264,2011-07-19
3264,2011-10-09
3264,2011-12-01
3264,2012-09-17
3264,2012-10-08
3264,2012-11-09
3264,2013-01-09
3264,2013-02-01
3264,2013-03-31
3264,2013-04-06
3264,2013-04-15
3264,2013-07-01
3264,2013-09-16
3264,2013-10-02
3264,2013-10-15
3264,2013-11-23
3264,2014-03-21
3264,2014-08-24
3264,2015-06-20
3264,2017-09-17
3264,2017-12-19
3264,2018-08-07
3264,2022-09-08
5739,2009-07-14
5739,2009-08-30
5739,2009-09-13
5739,2009-10-05
5739,2009-10-27
5739,2010-01-14
5739,2010-02-16
5739,2010-02-27
5739,2010-04-10
5739,2010-05-08
5739,2010-05-20
5739,2010-06-10
5739,2010-06-17
5739,2010-06-26
5739,2010-07-10
5739,2010-07-18
5739,2010-07-28
5739,2010-08-02
5739,2011-09-30
5739,2011-11-01
5739,2011-12-23
5739,2012-05-02
5739,2013-05-21
5739,2013-06-12
5739,2013-07-10
5739,2013-07-22
5739,2013-08-03
5739,2013-08-11
5739,2013-09-19
5739,2013-10-16
5739,2013-10-22
5739,2013-11-03
5739,2013-11-11
5739,2013-11-19
5739,2013-11-25
5739,2013-12-21
5739,2014-01-25
5739,2014-05-10
5739,2014-05-21
5739,2014-05-26
5739,2014-06-01
5739,2014-06-10
5739,2014-07-26
5739,2014-08-25
5739,2014-08-26
5739,2014-09-22
5739,2014-09-28
5739,2014-10-07
5739,2014-10-12
5739,2014-10-24
5739,2014-11-07
5739,2014-11-13
5739,2014-12-06
5739,2014-12-13
5739,2014-12-31
5739,2015-01-09
5739,2015-01-25
5739,2015-02-12
5739,2015-02-20
5739,2015-03-09
5739,2015-03-17
5739,2015-03-28
5739,2015-04-01
5739,2015-04-06
5739,2015-04-12
5739,2015-05-01
5739,2015-05-30
5739,2015-06-17
5739,2015-07-02
5739,2015-07-11
5739,2015-07-16
5739,2015-07-27
5739,2015-08-08
5739,2015-08-12
5739,2015-08-19
5739,2015-09-01
5739,2015-09-06
5739,2015-09-12
5739,2015-10-27
5739,2015-11-14
5739,2015-11-27
5739,2015-12-12
5739,2016-01-14
5739,2016-01-29
5739,2016-02-05
5739,2016-02-19
5739,2016-02-26
5739,2016-03-05
5739,2016-03-15
5739,2016-03-26
5739,2016-04-02
5739,2016-04-16
5739,2016-05-10
